"","Year","boundary","quintile"
"20%...1",1971,3910,1
"40%...2",1971,6980,2
"60%...3",1971,9640,3
"80%...4",1971,13330,4
"20%...5",1981,10071,1
"40%...6",1981,18126.8,2
"60%...7",1981,26000,3
"80%...8",1981,36712,4
"20%...9",1986,13046,1
"40%...10",1986,23952.2,2
"60%...11",1986,35387,3
"80%...12",1986,50346,4
"20%...13",1991,17566,1
"40%...14",1991,31739,2
"60%...15",1991,47000,3
"80%...16",1991,67500,4
"20%...17",1996,17261.2,1
"40%...18",1996,31965.4,2
"60%...19",1996,49018,3
"80%...20",1996,71981,4
"20%...21",2001,20569,1
"40%...22",2001,37664,2
"60%...23",2001,57099.2,3
"80%...24",2001,85000,4
