skim_type,skim_variable,election,n_missing,complete_rate,numeric.mean
numeric,age,1965,20,0.990557129,44.63393708
numeric,age,1968,0,1,44.64691001
numeric,age,1972,42,0.967592593,41.74800638
numeric,age,1974,12,0.995316159,42.72823529
numeric,age,1979,23,0.991618076,44.17015803
numeric,age,1980,14,0.991990847,44.40138408
numeric,age,1984,79,0.976606455,43.84566404
numeric,age,1988,704,0.804932114,41.98244406
numeric,age,1993,9,0.997305389,42.65475833
numeric,age,1997,65,0.983540137,44.72991761
numeric,age,2000,32,0.991235278,46.63885051
numeric,age,2004,10,0.996816301,49.0894283
numeric,age,2006,10,0.99692213,51.28928682
numeric,age,2008,26,0.99295202,52.09090909
numeric,age,2011,40,0.98810232,54.74503311
numeric,age,2015,135,0.967872442,56.42660438
numeric,age,2019,1,0.999751553,50.8832008
numeric,degree,1965,0,1,0.068460812
numeric,degree,1968,3,0.998915793,0.049927641
numeric,degree,1972,40,0.969135802,0.125
numeric,degree,1974,44,0.982825917,0.127879269
numeric,degree,1979,93,0.966107872,0.177668804
numeric,degree,1980,73,0.958237986,0.210746269
numeric,degree,1984,6,0.998223275,0.12726194
numeric,degree,1988,83,0.97700194,0.156551333
numeric,degree,1993,7,0.997904192,0.207320732
numeric,degree,1997,55,0.986072423,0.210066769
numeric,degree,2000,27,0.992604766,0.213576159
numeric,degree,2004,32,0.989812162,0.282727565
numeric,degree,2006,36,0.988919668,0.324929972
numeric,degree,2008,1257,0.659257251,0.337582237
numeric,degree,2011,10,0.99702558,0.33800716
numeric,degree,2015,36,0.991432651,0.367738838
numeric,degree,2019,12,0.997018634,0.431348119
numeric,duty,1965,2118,0,NA
numeric,duty,1968,2767,0,NA
numeric,duty,1972,1296,0,NA
numeric,duty,1974,2562,0,NA
numeric,duty,1979,2744,0,NA
numeric,duty,1980,1748,0,NA
numeric,duty,1984,3377,0,NA
numeric,duty,1988,3609,0,NA
numeric,duty,1993,3340,0,NA
numeric,duty,1997,3949,0,NA
numeric,duty,2000,2164,0.407285675,0.626765299
numeric,duty,2004,28,0.991085642,0.776742692
numeric,duty,2006,29,0.991074177,0.826397516
numeric,duty,2008,1248,0.661696937,0.848013109
numeric,duty,2011,28,0.991671624,0.736352729
numeric,duty,2015,51,0.987862922,0.731630932
numeric,duty,2019,42,0.989565217,0.765252322
numeric,education,1965,2118,0,NA
numeric,education,1968,2767,0,NA
numeric,education,1972,1296,0,NA
numeric,education,1974,2562,0,NA
numeric,education,1979,2744,0,NA
numeric,education,1980,1748,0,NA
numeric,education,1984,3377,0,NA
numeric,education,1988,1529,0.576336935,0.705288462
numeric,education,1993,0,1,0.892814371
numeric,education,1997,787,0.80070904,0.886622391
numeric,education,2000,797,0.781703643,0.899789769
numeric,education,2004,9,0.99713467,0.847222222
numeric,education,2006,6,0.998153278,0.836879433
numeric,education,2008,6,0.998373543,0.849171871
numeric,education,2011,0,1,0.773944081
numeric,education,2015,10,0.997620181,0.830749046
numeric,education,2019,638,0.841490683,0.849867139
numeric,efficacy_external,1965,155,0.926817753,0.402445237
numeric,efficacy_external,1968,5,0.998192989,0.400072411
numeric,efficacy_external,1972,1296,0,NA
numeric,efficacy_external,1974,1361,0.468774395,0.386136553
numeric,efficacy_external,1979,1457,0.469023324,0.389277389
numeric,efficacy_external,1980,1748,0,NA
numeric,efficacy_external,1984,153,0.954693515,0.311181762
numeric,efficacy_external,1988,3609,0,NA
numeric,efficacy_external,1993,1143,0.657784431,0.255689577
numeric,efficacy_external,1997,6,0.998480628,0.25779863
numeric,efficacy_external,2000,2144,0.412763626,0.369940279
numeric,efficacy_external,2004,1472,0.53135944,0.325793889
numeric,efficacy_external,2006,3249,0,NA
numeric,efficacy_external,2008,1764,0.521821632,0.374025974
numeric,efficacy_external,2011,1837,0.453599048,0.37442623
numeric,efficacy_external,2015,2914,0.306520704,0.405473602
numeric,efficacy_external,2019,4025,0,NA
numeric,efficacy_external2,1965,120,0.943342776,0.505505506
numeric,efficacy_external2,1968,6,0.997831587,0.543100326
numeric,efficacy_external2,1972,1296,0,NA
numeric,efficacy_external2,1974,1363,0.467993755,0.428690575
numeric,efficacy_external2,1979,1436,0.476676385,0.451834862
numeric,efficacy_external2,1980,1748,0,NA
numeric,efficacy_external2,1984,109,0.967722831,0.38502142
numeric,efficacy_external2,1988,3609,0,NA
numeric,efficacy_external2,1993,1142,0.658083832,0.311988171
numeric,efficacy_external2,1997,8,0.997974171,0.335320985
numeric,efficacy_external2,2000,8,0.99780882,0.360485863
numeric,efficacy_external2,2004,8,0.99745304,0.410150016
numeric,efficacy_external2,2006,2,0.999384426,0.399676625
numeric,efficacy_external2,2008,11,0.997018162,0.392944535
numeric,efficacy_external2,2011,7,0.997917906,0.373248882
numeric,efficacy_external2,2015,1225,0.708472156,0.400067182
numeric,efficacy_external2,2019,4025,0,NA
numeric,efficacy_internal,1965,83,0.960812087,0.47960688
numeric,efficacy_internal,1968,16,0.994217564,0.509632861
numeric,efficacy_internal,1972,1296,0,NA
numeric,efficacy_internal,1974,1336,0.478532397,0.444738989
numeric,efficacy_internal,1979,1422,0.481778426,0.43570348
numeric,efficacy_internal,1980,1748,0,NA
numeric,efficacy_internal,1984,70,0.979271543,0.379800423
numeric,efficacy_internal,1988,3609,0,NA
numeric,efficacy_internal,1993,1146,0.656886228,0.465360073
numeric,efficacy_internal,1997,5,0.998733857,0.38140213
numeric,efficacy_internal,2000,2142,0.413311422,0.59194831
numeric,efficacy_internal,2004,1472,0.53135944,0.550629119
numeric,efficacy_internal,2006,3249,0,NA
numeric,efficacy_internal,2008,1762,0.522363784,0.552153607
numeric,efficacy_internal,2011,1837,0.453599048,0.573442623
numeric,efficacy_internal,2015,2915,0.306282723,0.57983683
numeric,efficacy_internal,2019,4025,0,NA
numeric,efficacy_rich,1965,2118,0,NA
numeric,efficacy_rich,1968,2767,0,NA
numeric,efficacy_rich,1972,1296,0,NA
numeric,efficacy_rich,1974,2562,0,NA
numeric,efficacy_rich,1979,2744,0,NA
numeric,efficacy_rich,1980,1748,0,NA
numeric,efficacy_rich,1984,3377,0,NA
numeric,efficacy_rich,1988,3609,0,NA
numeric,efficacy_rich,1993,3340,0,NA
numeric,efficacy_rich,1997,3949,0,NA
numeric,efficacy_rich,2000,3651,0,NA
numeric,efficacy_rich,2004,3141,0,NA
numeric,efficacy_rich,2006,3249,0,NA
numeric,efficacy_rich,2008,3689,0,NA
numeric,efficacy_rich,2011,3362,0,NA
numeric,efficacy_rich,2015,4202,0,NA
numeric,efficacy_rich,2019,1163,0.711055901,0.486460517
numeric,employment,1965,13,0.993862134,0.919239905
numeric,employment,1968,0,1,0.530899892
numeric,employment,1972,138,0.893518519,0.575129534
numeric,employment,1974,1,0.99960968,0.54822335
numeric,employment,1979,3,0.998906706,0.594308646
numeric,employment,1980,19,0.989130435,0.617119722
numeric,employment,1984,0,1,0.525614451
numeric,employment,1988,82,0.977279025,0.616104338
numeric,employment,1993,9,0.997305389,0.635244671
numeric,employment,1997,52,0.986832109,0.623299974
numeric,employment,2000,31,0.991509176,0.606629834
numeric,employment,2004,15,0.995224451,0.630518234
numeric,employment,2006,13,0.995998769,0.635043263
