"","election","male","occupation","employment","union_both","region","union","degree","quebec","age","religion","vote","income","redistribution","market_liberalism","immigration_rates","traditionalism2","turnout","mip","personal_retrospective","efficacy_external","efficacy_external2","efficacy_internal","political_efficacy","foreign","non_charter_language","language","party_id","income_tertile","income2","sector","occupation3","ideology","traditionalism","trad1","trad2","market1","market2","education","national_retrospective","vote3","postgrad","enviro","pol_interest","satdem","satdem2","household","promise","trust","inequality","efficacy_rich","region2","region3","female","vote2","ndp","liberal","conservative","bloc","green","ndp_vs_right","liberal_vs_right","bloc_vs_right","ndp_vs_liberal","left","right","religion2","catholic","no_religion","occupation2","occupation4","working_class","working_class2","working_class3","working_class4","upper_class","upper_class2","rich","poor","1965","1968","1972","1974","1979","1980","1984","1988","1993","1997","2000","2004","2006","2008","2011","2015","2019","Period","redistribution_reversed","economic","social"
"1","1965",0,5,1,NA,1,NA,0,0,45,2,1,1,NA,NA,NA,NA,1,9,0.5,0,0,1,0.333333333333333,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"2","1965",0,5,1,0,1,0,0,0,36,2,1,2,NA,NA,NA,NA,1,0,0,1,0,1,0.666666666666667,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"3","1965",1,5,1,0,1,0,0,0,48,1,2,2,NA,NA,NA,NA,1,15,0,1,1,1,1,0,1,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Catholic",1,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"4","1965",0,5,1,NA,1,NA,0,0,32,1,1,2,NA,NA,NA,NA,1,15,1,1,1,0,0.666666666666667,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Catholic",1,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"5","1965",0,5,1,NA,1,NA,0,0,53,1,1,3,NA,NA,NA,NA,1,15,1,1,0,0,0.333333333333333,0,0,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Catholic",1,0,"Working_Class",NA,1,1,NA,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"6","1965",0,5,1,NA,1,NA,0,0,33,2,1,2,NA,NA,NA,NA,1,6,0.5,0,0,0,0,0,0,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"7","1965",0,1,1,0,1,0,0,0,47,2,2,3,NA,NA,NA,NA,1,11,1,NA,1,1,1,0,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Professionals",NA,0,0,NA,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"8","1965",1,NA,1,NA,1,NA,0,0,75,1,2,2,NA,NA,NA,NA,1,9,0.5,0,0,0,0,0,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Catholic",1,0,NA,NA,NA,0,NA,0,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"9","1965",0,2,1,0,1,0,0,0,45,2,2,3,NA,NA,NA,NA,1,16,1,1,1,1,1,1,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Managers",NA,0,0,NA,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"10","1965",0,5,1,NA,1,NA,0,0,62,2,1,2,NA,NA,NA,NA,1,15,0,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
